accom_type,stay_duration,rent_range,city,gender,freq_wifi,freq_maintenance,freq_food,freq_noise,freq_cleanliness,freq_water,freq_security,freq_comm,report_behavior,renewal_likelihood,nps_score,non_renewal_reason,is_synthetic,churn_label,group_id,total_complaint_burden,silent_tolerance_ratio,stay_dur_enc,rent_range_enc,gender_enc,accom_Co-living,accom_Hostel,accom_PG
PG,6-12 months,"₹8,000–12,000",Bangalore ,Male,1,1,4,0,2,3,0,2,0,3,9,,False,0,0,13,1.0,2,2,0,0,0,1
Hostel,3-6 months,">₹18,000",Bangalore,Male,0,0,2,1,0,0,0,0,0,5,8,,False,0,1,3,1.0,1,2,0,0,1,0
Hostel,more than 12 months,"₹8,000–12,000",bangalore,Male,3,3,2,3,2,2,2,3,0,3,7,no,False,0,2,20,1.0,1,2,0,0,1,0
Co-living,6-12 months,"₹12,000–18,000",chennai,Female,4,3,3,3,2,3,2,3,0,4,4,no,False,0,3,23,1.0,2,2,1,1,0,0
PG,more than 12 months,"₹5,000–8,000",Bangalore,Male,2,2,4,2,2,2,2,2,0,3,6,,False,0,4,18,1.0,1,2,0,0,0,1
PG,3 months,"₹12,000–18,000",Coimbatore ,Female,4,1,4,2,3,1,1,1,0,3,6,okay except food ,False,0,5,17,1.0,1,2,1,0,0,1
Hostel,more than 12 months,">₹18,000",Coimbatore,Female,4,0,4,2,4,2,0,0,0,4,7,,False,0,6,16,1.0,1,2,1,0,1,0
PG,6-12 months,"₹12,000–18,000",Hyderabad,Female,3,2,3,1,3,1,1,1,0,2,5,,False,1,7,15,1.0,2,2,1,0,0,1
Hostel,more than 12 months,">₹18,000",Banagalore,Female,1,1,2,1,1,1,0,1,0,4,8,,False,0,8,8,1.0,1,2,1,0,1,0
Hostel,6-12 months,">₹18,000",Bangalore ,Male,4,2,4,2,4,2,0,2,0,2,4,not good,False,1,9,20,1.0,2,2,0,0,1,0
PG,3-6 months,"₹8,000–12,000",Coimbatore,Male,3,1,1,1,1,1,1,1,0,4,6,,False,0,10,10,1.0,1,2,0,0,0,1
PG,3-6 months,"₹12,000–18,000",Bangalore,Female,3,3,3,1,1,1,1,1,0,2,2,,False,1,11,14,1.0,1,2,1,0,0,1
Hostel,3 months,"₹8,000–12,000",Kolkata ,Male,2,1,2,2,2,1,1,1,0,3,2,,False,0,12,12,1.0,1,2,0,0,1,0
