accom_type,stay_duration,rent_range,city,gender,freq_wifi,freq_maintenance,freq_food,freq_noise,freq_cleanliness,freq_water,freq_security,freq_comm,report_behavior,renewal_likelihood,nps_score,non_renewal_reason,is_synthetic
PG,6-12 months,"₹8,000–12,000",Bangalore ,Male,1,1,4,0,2,3,0,2,0,3,9,,False
Hostel,3-6 months,">₹18,000",Bangalore,Male,0,0,2,1,0,0,0,0,0,5,8,,False
Hostel,more than 12 months,"₹8,000–12,000",bangalore,Male,3,3,2,3,2,2,2,3,0,3,7,no,False
Co-living,6-12 months,"₹12,000–18,000",chennai,Female,4,3,3,3,2,3,2,3,0,4,4,no,False
PG,more than 12 months,"₹5,000–8,000",Bangalore,Male,2,2,4,2,2,2,2,2,0,3,6,,False
PG,3 months,"₹12,000–18,000",Coimbatore ,Female,4,1,4,2,3,1,1,1,0,3,6,okay except food ,False
Hostel,more than 12 months,">₹18,000",Coimbatore,Female,4,0,4,2,4,2,0,0,0,4,7,,False
PG,6-12 months,"₹12,000–18,000",Hyderabad,Female,3,2,3,1,3,1,1,1,0,2,5,,False
Hostel,more than 12 months,">₹18,000",Banagalore,Female,1,1,2,1,1,1,0,1,0,4,8,,False
Hostel,6-12 months,">₹18,000",Bangalore ,Male,4,2,4,2,4,2,0,2,0,2,4,not good,False
PG,3-6 months,"₹8,000–12,000",Coimbatore,Male,3,1,1,1,1,1,1,1,0,4,6,,False
PG,3-6 months,"₹12,000–18,000",Bangalore,Female,3,3,3,1,1,1,1,1,0,2,2,,False
Hostel,3 months,"₹8,000–12,000",Kolkata ,Male,2,1,2,2,2,1,1,1,0,3,2,,False
PG,6-12 months,"₹12,000–18,000",Hyderabad ,Female,2,1,2,1,3,2,0,0,0,3,6,,False
PG,more than 12 months,"₹8,000–12,000",Bangalore ,Male,2,0,4,0,2,0,0,2,0,4,8,,False
Hostel,3 months,"₹5,000–8,000",Coimbatore ,Female,2,2,2,0,2,1,0,0,0,4,7,,False
PG,6-12 months,"₹12,000–18,000",Chennai,Female,2,2,2,1,2,2,0,1,0,3,6,,False
Hostel,3-6 months,"₹8,000–12,000",Coimbatore ,Male,1,2,2,1,2,2,1,1,0,3,3,,False
Hostel,6-12 months,"₹8,000–12,000",Mysore ,Female,2,1,2,2,2,1,1,2,0,2,5,,False
Co-living,3-6 months,"₹8,000–12,000",Bangalore ,Female,1,2,1,1,2,1,2,1,0,1,1,,False
Hostel,6-12 months,"₹12,000–18,000",Blr ,Female,1,1,3,1,1,1,1,1,0,5,8,,False
Hostel,3 months,"₹8,000–12,000",Bangalore ,Male,0,1,1,2,2,1,1,2,0,1,1,,False
Co-living,6-12 months,"₹12,000–18,000",Bangalore ,Female,2,2,2,2,1,2,1,1,0,3,4,,False
PG,6-12 months,"₹8,000–12,000",Mysore ,Female,0,0,2,0,2,2,0,0,0,4,8,,False
PG,3 months,"₹5,000–8,000",Bangalore ,Male,3,3,3,2,2,2,2,2,0,2,4,"Food , wifi all bad ",False
Hostel,3 months,"₹8,000–12,000",Bangalore ,Female,0,1,1,0,3,4,4,4,0,2,2,,False
PG,6-12 months,"₹8,000–12,000",Mysore,Female,2,2,2,2,2,2,2,2,0,4,8,,False
Hostel,6-12 months,"₹12,000–18,000",Bangalore ,Male,3,2,3,1,1,1,1,1,0,4,6,,False
Hostel,more than 12 months,">₹18,000",Coimbatore ,Female,1,1,2,2,1,1,1,1,0,4,9,,False
Hostel,6-12 months,"₹8,000–12,000",Hyderabad ,Female,1,2,2,0,2,2,0,0,0,4,7,,False
Co-living,more than 12 months,">₹18,000",Mysore ,Female,1,1,1,1,1,1,1,1,0,4,10,,False
Co-living,6-12 months,"₹12,000–18,000",Mysore ,Female,1,1,2,2,1,2,1,1,0,3,3,,False
Hostel,6-12 months,"₹12,000–18,000",Mysore ,Female,3,2,2,1,1,1,1,1,0,4,8,,False
PG,more than 12 months,"₹12,000–18,000",Bangalore ,Female,2,2,2,0,0,0,0,0,0,4,6,,False
Co-living,3 months,"₹5,000–8,000",Vijayawada ,Male,2,2,4,1,2,2,0,0,0,3,5,,False
Hostel,6-12 months,"₹8,000–12,000",Chennai ,Male,3,2,2,2,2,1,1,1,0,4,9,,False
Hostel,6-12 months,"<₹5,000",Bangalore ,Male,2,2,1,2,1,1,2,1,0,4,3,,False
Hostel,6-12 months,"<₹5,000",Bangalore ,Male,2,1,2,1,4,3,3,3,0,3,7,,False
Hostel,3-6 months,"<₹5,000",Bangalore ,Prefer not to say,2,2,3,2,3,3,4,4,0,1,4,,False
Co-living,6-12 months,">₹18,000",Bangalore ,Female,1,1,1,2,4,4,3,3,0,1,1,,False
Hostel,3-6 months,"₹12,000–18,000",Bangalore ,Prefer not to say,1,0,4,4,1,1,0,0,0,5,10,,False
PG,more than 12 months,"₹12,000–18,000",Chennai,Male,2,1,2,0,2,2,0,0,0,3,6,,False
Hostel,3 months,"₹8,000–12,000",Bangalore ,Prefer not to say,2,4,4,2,4,4,3,4,0,5,7,,False
Hostel,6-12 months,"₹5,000–8,000",Bangalore ,Male,0,3,3,4,3,4,3,4,0,5,2,,False
